epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.406,0.72136,2.68928,1.30358,0.28498,0.5769,0.35085,0.28713,0.66076,1.72702,1.3846,0.000276993,0.000276993,0.000276993
2,208.74,0.65958,1.88329,1.2308,0.19274,0.65215,0.25692,0.21398,nan,nan,nan,0.000540932,0.000540932,0.000540932
3,309.539,0.65441,1.67204,1.22125,0.40393,0.56568,0.43411,0.35725,0.67696,1.4989,1.42366,0.000791126,0.000791126,0.000791126
4,409.938,0.64709,1.55942,1.21958,0.39704,0.65033,0.48018,0.41616,0.56145,1.37708,1.26163,0.00077115,0.00077115,0.00077115
5,510.28,0.62273,1.49642,1.19615,0.2839,0.70177,0.30398,0.26481,nan,nan,nan,0.000750533,0.000750533,0.000750533
6,610.753,0.60313,1.44159,1.18309,0.42222,0.64236,0.54463,0.45389,0.64864,1.27752,1.32765,0.000729916,0.000729916,0.000729916
7,716.068,nan,nan,nan,0.40791,0.65753,0.51643,0.44055,nan,nan,nan,0.000709299,0.000709299,0.000709299
8,820.355,0.5789,1.37936,1.16715,0.44815,0.66121,0.5129,0.44427,nan,nan,nan,0.000688683,0.000688683,0.000688683
9,923.004,nan,nan,nan,0.42011,0.65154,0.53913,0.47286,nan,nan,nan,0.000668066,0.000668066,0.000668066
10,1025.21,0.56566,1.33513,1.15601,0.37892,0.68998,0.43193,0.37655,nan,nan,nan,0.000647449,0.000647449,0.000647449
11,1125.98,nan,nan,nan,0.55269,0.65228,0.59872,0.52852,nan,nan,nan,0.000626832,0.000626832,0.000626832
12,1226.4,0.55171,1.30493,1.14589,0.32306,0.69379,0.36159,0.31393,nan,nan,nan,0.000606216,0.000606216,0.000606216
13,1327.27,0.54039,1.28172,1.13653,0.52269,0.67232,0.58552,0.51995,nan,nan,nan,0.000585599,0.000585599,0.000585599
14,1428.18,0.54052,1.25381,1.13217,0.52502,0.68246,0.60547,0.54042,nan,nan,nan,0.000564982,0.000564982,0.000564982
15,1529.28,0.53698,1.25436,1.1357,0.44289,0.71674,0.47175,0.41644,nan,nan,nan,0.000544365,0.000544365,0.000544365
16,1632.86,0.53116,1.23239,1.1291,0.55895,0.72183,0.66773,0.59271,nan,nan,nan,0.000523749,0.000523749,0.000523749
17,1734.66,0.52408,1.21911,1.12753,0.53825,0.6909,0.60339,0.53194,nan,nan,nan,0.000503132,0.000503132,0.000503132
18,1836.27,0.5283,1.20837,1.12741,0.59931,0.70707,0.6841,0.61002,nan,nan,nan,0.000482515,0.000482515,0.000482515
19,1937.86,0.51322,1.19561,1.11902,0.5986,0.68877,0.69016,0.61847,nan,nan,nan,0.000461898,0.000461898,0.000461898
20,2038.28,0.50933,1.17418,1.1163,0.56134,0.71419,0.63729,0.57096,nan,nan,nan,0.000441282,0.000441282,0.000441282
21,2138.5,nan,nan,nan,0.6226,0.66226,0.69722,0.62784,nan,nan,nan,0.000420665,0.000420665,0.000420665
22,2240.91,0.51299,1.15655,1.11593,0.62054,0.70541,0.66856,0.59876,nan,nan,nan,0.000400048,0.000400048,0.000400048
23,2343.84,0.50466,1.14094,1.11261,0.59396,0.71924,0.7179,0.64665,nan,nan,nan,0.000379431,0.000379431,0.000379431
24,2447.37,nan,nan,nan,0.62557,0.70406,0.72731,0.65497,nan,nan,nan,0.000358815,0.000358815,0.000358815
25,2551.85,0.4952,1.12406,1.10634,0.6371,0.67047,0.70751,0.63984,nan,nan,nan,0.000338198,0.000338198,0.000338198
26,2652.95,nan,nan,nan,0.6355,0.70559,0.73303,0.66578,nan,nan,nan,0.000317581,0.000317581,0.000317581
27,2754.25,0.49079,1.09974,1.10085,0.44353,0.68676,0.46814,0.40449,nan,nan,nan,0.000296964,0.000296964,0.000296964
28,2855.34,0.4879,1.07907,1.09851,0.64655,0.67742,0.71061,0.64576,nan,nan,nan,0.000276348,0.000276348,0.000276348
29,2959.02,nan,nan,nan,0.62463,0.70476,0.69859,0.63433,nan,nan,nan,0.000255731,0.000255731,0.000255731
30,3063.34,0.47108,1.07073,1.08724,0.64008,0.71337,0.73276,0.66293,nan,nan,nan,0.000235114,0.000235114,0.000235114
31,3190.82,0.35287,0.75981,1.06842,0.63842,0.73012,0.72163,0.65444,nan,nan,nan,0.000214497,0.000214497,0.000214497
32,3289.74,0.3399,0.7071,1.0509,0.64885,0.76201,0.76495,0.69864,nan,nan,nan,0.000193881,0.000193881,0.000193881
33,3388.85,0.33517,0.69475,1.04695,0.6896,0.69334,0.76503,0.69781,nan,nan,nan,0.000173264,0.000173264,0.000173264
34,3489.78,0.33113,0.6576,1.04545,0.69888,0.71176,0.76783,0.7003,nan,nan,nan,0.000152647,0.000152647,0.000152647
35,3591.63,0.32637,0.62156,1.04499,0.66439,0.74804,0.76148,0.69436,nan,nan,nan,0.000132031,0.000132031,0.000132031
36,3694.79,nan,nan,nan,0.66536,0.7214,0.7371,0.67445,nan,nan,nan,0.000111414,0.000111414,0.000111414
37,3792.91,0.31853,0.5921,1.0324,0,0,0,0,nan,nan,nan,9.0797e-05,9.0797e-05,9.0797e-05
38,3891.17,0.31581,0.5766,1.03369,0,0,0,0,nan,nan,nan,7.01802e-05,7.01802e-05,7.01802e-05
39,3989.17,0.30628,0.542,1.02126,0,0,0,0,nan,nan,nan,4.95635e-05,4.95635e-05,4.95635e-05
40,4087.8,0.30834,0.53042,1.02217,0,0,0,0,nan,nan,nan,2.89468e-05,2.89468e-05,2.89468e-05
